2014-10-09 11:03:30,256 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(72), status: 200, use time: 0, result: Request delay:1956, url: GET /R-25 HTTP/1.1
2014-10-09 11:03:30,300 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(73), status: 200, use time: 0, result: Request delay:1988, url: GET /R-26 HTTP/1.1
2014-10-09 11:03:30,317 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(74), status: 200, use time: 0, result: Request delay:2004, url: GET /R-45 HTTP/1.1
2014-10-09 11:03:30,324 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(75), status: 200, use time: 0, result: Request delay:2020, url: GET /R-61 HTTP/1.1
2014-10-09 11:03:30,337 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(76), status: 200, use time: 0, result: Request delay:2036, url: GET /R-53 HTTP/1.1
2014-10-09 11:03:30,367 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(77), status: 200, use time: 0, result: Request delay:2068, url: GET /R-81 HTTP/1.1
2014-10-09 11:03:30,372 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(78), status: 200, use time: 0, result: Request delay:2068, url: GET /R-48 HTTP/1.1
2014-10-09 11:03:30,376 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(79), status: 200, use time: 0, result: Request delay:2068, url: GET /R-24 HTTP/1.1
2014-10-09 11:03:30,411 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(80), status: 200, use time: 0, result: Request delay:2100, url: GET /R-34 HTTP/1.1
2014-10-09 11:03:30,412 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(81), status: 200, use time: 0, result: Request delay:2100, url: GET /R-99 HTTP/1.1
2014-10-09 11:03:30,431 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(82), status: 200, use time: 0, result: Request delay:2132, url: GET /R-49 HTTP/1.1
2014-10-09 11:03:30,445 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(83), status: 200, use time: 0, result: Request delay:2132, url: GET /R-39 HTTP/1.1
2014-10-09 11:03:30,495 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(84), status: 200, use time: 0, result: Request delay:2196, url: GET /R-32 HTTP/1.1
